,names,Yield Strength,Pressure treated,Area under heat treatment curve,Strengthening Precipitate Phase,Powder processed,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,Ultimate Tensile Strength,Elongation
1563,Rene125+Hf,,No,0,,No,4.8,0.015,0.11,10,8.5,0,0,,,0,0,2,0,0,59,1.4,,,0,3.8,2.5,0,8,0,0,0,0.05,,
1564,Inconel718KC1555,,No,985003.3333,,No,0.64,0.006,0.06,0.36,17.8,0.001,17.43,0,,0,0.11,2.98,0,5.31,53.23,0,,,0.61,0,1.45,0,0,0,0,0,0,1506.5,
1565,Inconel625,,No,1299038,,No,0.2,0,0.05,0,21.5,0,2,0,,0,0.2,9,0,3.6,63.05,0,,,0.2,0,0.2,0,0,0,0,0,0,1214,
1566,Inconel718,,No,15924,,No,0.62,0.002,0.04,0.01,17.56,0,18.11,0,,0,0.13,3.06,0,5.3,54.13,0,,,0.11,0,0.93,0,0,0,0,0,0,1070,
1567,Inconel706,,No,15630,,No,0.26,0.0034,0.008,0,15.65,0.003,37.1,,,0,0.02,0.02,0.0046,2.96,42.38,0,,,0.05,0,1.54,0,0,0,0,0,0,,
1568,AF2-1DA6,,No,74672,,No,4.6,0.015,0.04,10,12,0,0,0,,0,0,2.8,0,0,61.55,0,,,0,1.5,2.8,0,4.6,0,0,0,0.1,1385,
1569,Inconel939,583,No,10640,GammaPrime,No,1.9,0.01,0.15,19,22.5,0,0,0,0,0,0,0,0,1,48.24,0,0,0,0,1.4,3.7,0,2,0,0,0,0.1,,6.4
1570,Unnamedalloy9,,No,0,,No,5.75,0,0,15,10,0,0,,,0,0,3.5,0,0,61.15,0,,,0,0,4.6,0,0,0,0,0,0,,
1571,Inconel713C,722,Yes,4740,GammaPrime,No,6.2,0.011,0.1,0,13.1,0,0,0,0,0,0,4.5,0,1.6,71.87,0,0,0,0,1.75,0.8,0,0,0,0,0,0.07,,8.7
1572,Inconel718_Ta,,No,9141,,No,0.47,0.0043,0.044,0,19.2,0,18,0,,0,0,3,0,0.02,49.1,0,,,0.02,9.1,1.04,0,0,0,0,0,0,893,
1573,Inconel731X,,No,0,,No,5.6,0.014,0.16,9.72,9.6,0,0.23,,,0,0,2.46,0,0,66.66,0,,,0.045,0,4.66,0.85,0,0,0,0,0,,
1574,MAR-M247:WLK,,No,203820,,No,5.5,0.013,0.17,10.15,8.63,0,0.04,0,,0,0,0.73,0,0,59.66,1.4,,,0,3,1,0,9.67,0,0,0,0.04,985,
1575,MAR-M247:WLK,,No,203820,,No,5.5,0.013,0.17,10.15,8.63,0,0.04,0,,0,0,0.73,0,0,59.66,1.4,,,0,3,1,0,9.67,0,0,0,0.04,534,
1576,Incoloy903,,No,11555,,No,0.7,0,0,15,0,0,41,,,0,0,0,0,3,38,0,,,0,0,1.4,0,0,0,0,0,0,,
1577,Inconel718,,No,12230,,No,1.85,0.0033,0.056,0,17.58,0,17,0,,0,0,2.85,0,3.44,56.04,0,,,0,0,1.18,0,0,0,0,0,0,1203,
1578,Inconel713C,,No,34420,,No,6.3,0.011,0.09,0,13.5,0,0,0,,0,0,4.6,0,1.8,71.33,0,,,0,1.5,0.8,0,0,0,0,0,0.07,848,
1579,MA6000,,No,0,,No,4.5,0.01,0.05,0,15,0,1,,,0,0,2,0,0,69.84,0,,,0,2,2.5,0,2,0,0,0,0,,
1580,Udimet720Li,807,No,23992,GammaPrime,No,2.54,0.018,0.013,14.52,16.06,0,0,0,0,0,0,3.08,0,0,57.53,0,0,0,0,0,5.04,0,1.2,0,0,0,0,,15.8
1581,Waspaloy,,No,19640,,No,1.5,0.006,0.08,13.5,19,0,2,,,0,0.1,4.3,0,0,56.31,0,,,0.15,0,3,0,0,0,0,0,0.05,,
1582,WaspaloyBar,,No,19620,,No,1.4,0.006,0.068,13.5,19.21,0,0,0,,0,0,4.1,0,0,58.59,0,,,0,0,3.13,0,0,0,0,0,0,1324,
1583,MAR-M421,,No,1213,,No,4.3,0.015,0.14,9.5,15.8,0,0,0,,0,0,2,0,2,61,0,,,0,0,1.8,0,3.8,0,0,0,0.05,750,
1584,Rene220,873,No,0,DoublePrime,No,1.3,0.015,0.04,4,20.1,0,1,0,0,0,0,2.4,0,1,64.95,0,0,0,0.5,2.1,2.5,0,0,0,0,0,0.1,,
1585,Udimet520,,No,36820,,No,2,0.005,0.05,12,19,0,0,0,,0,0,6,0,0,57,0,,,0,0,3,0,1,0,0,0,0,1240,
1586,Nimonic263,485,No,6621.8,GammaPrime,No,0.5,0.001,0.06,20,20,0,0,0,0,0,0.4,5.9,0,0,51,0,0,0,0.3,0,2.1,0,0,0,0,0,0.02,,26
1587,Inconel718KC1544,,No,11781.11111,,No,0.31,0.0055,0.071,0.39,17.8,0.001,18.06,0,,0,0.11,2.94,0,6.03,53.27,0,,,0.95,0,0.52,0,0,0,0,0,0,1376.9,
1588,InconelMA0754,,No,1316,,No,0.3,0,0.05,0,20,0,0,0,,0,0,0,0,0,78,0,,,0,0,0.5,0,0,0,0,0,0,965,
1589,Unnamedalloy28,977,No,49600,GammaPrime,No,1.49,0,0.006,19.2,24.25,0,0,0,0,0,0,1.44,0,1.08,76.4,0,0,0,0,0,2.93,0,0,0,0,0,0,,13.9
1590,InconelMA6000,,No,26910,,No,4.5,0.01,0.05,0,15,0,0,,,0,0,2,0,0,69,0,,,0,2,2.5,0,4,0,0,0,0.15,,
1591,Udimet720,1142,No,23914,GammaPrime,No,2.5,0.017,0.015,14.75,16,0,0,0,0,0,0,3,0,0,57.43,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,18.1
1592,RR1000+,,No,7800,,No,3.1,0.02,0.045,17,15,0,0,0,,0,0,4.5,0,0,53.53,0.35,,,0,2,4.4,0,0,0,0,0,0.06,1290,
1593,Inconel718KC1545,863.9,No,37810.8,DoublePrime,No,0.34,0.0047,0.062,0.36,17.89,0,19.2,0,0,0,0.14,2.93,0,4.03,52.75,0.003,0,0,0.89,0,1.2,0,0,0,0,0,0,,17
1594,Unnamedalloy2,,No,0,,No,0,0,0,0,24,0,33.55,,,0,0,0,0,2*,40,0,,,0,0,2*,0,0,0,0,0,0,,
1595,Allvac718PLUS,,No,11666,,No,1.5,0,0,5,18,0,10,,,0,0,2.8,0,5.5,56.5,0,,,0,0,0.7,0,0,0,0,0,0,,
1596,Udimet720P/M,,No,23914,,No,2.5,0.03,0.025,14.75,16,0,0,,,0,0,3,0,0,57.41,0,,,0,0,5,0,1.25,0,0,0,0.035,,
1597,MAR-M200+Hf,825,No,43550,GammaPrime,No,5,0.015,0.14,10,9,0,0,1.8,0,0,0,0,0,1,59,0,0,0,0,0,2,0,12.5,0,0,0,0.05,,8
1598,Inconel718P/M,,No,12788,,No,5.45,0,0.04,0,18.61,0,18.61,,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,,
1599,Inconel713C,,No,34420,,No,6.2,0.011,0.1,0,13.1,0,0,,,0,0,4.5,0,1.6,71.87,0,,,0,1.75,0.8,0,0,0,0,0,0.07,,
1600,Inconel625,,No,3579,,No,0.25,0,0.016,0,21.45,0,1.41,0,,0,0.05,8.89,0.006,3.77,63.84,0,,,0.06,0,0.26,0,0,0,0,0,0,1057,
1601,Inconel100,,No,0,,No,5.5,0.014,0.18,15,10,0,0,,,0,0,3,0,0,60,0,,,0,0,4.7,1,0,0,0,0,0.06,,
1602,MERL76,200,No,2352,GammaPrime,No,5,0.02,0.02,18.5,12.5,0,0,0.4,0,0,0,3.2,0,1.4,54.5,0,0,0,0,0,4.4,0,0,0,0,0,0.06,,40
1603,TMW1,,No,32160,,No,2.4,0.02,0.03,14.8,16.3,0,0,0,,0,0,3.1,0,0,59.22,0,,,0,0,2.8,0,1.3,0,0,0,0.03,1327,
1604,Nimonic075,,No,1052,,No,0,0,0.1,0,19.5,0,3,0,,0,0.3,0,0,0,76,0,,,0.3,0,0.4,0,0,0,0,0,0,310,
1605,Rene77,,No,43376,,No,4.3,0.016,0.07,15,14.6,0,0,,,0,0,4.2,0,0,58,0,,,0,0,3.3,0,0,0,0,0,0.04,,
1606,InconelMA0754,685,No,1316,yprime+ODS,No,0.3,0,0.05,0,20,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0.5,0,0,0.472453499,0,0.127546501,0,,6
1607,Inconel713C,,No,34420,,No,6.2,0.011,0.1,0,13.1,0,0,0,,0,0,4.5,0,1.6,71.87,0,,,0,1.75,0.8,0,0,0,0,0,0.07,878,
1608,AEREX350,,No,4021,,No,0.84,0.021,0.019,25.15,17.03,0.004,0,0,,0,0,3.05,0,1.13,44.69,0,,,0,4.02,2.07,0,2.17,0,0,0,0,902,
1609,El-929,,No,6640,,No,4,0.02,0.1,14,10,0,0,,,0,0,4,0,0,60.38,0,,,0,0,2,0.5,5,0,0,0,0,,
1610,AlloyT+B,946,No,7960,GammaPrime,Yes,3.1,0.035,0.045,17,15,0,0,0,0,0,0,4,0,0,53.86,0,0,0,0,2.5,4.4,0,0,0,0,0,0.06,,28.39
1611,Inconel625,,No,3354,,No,0.28,0,0.026,0,21.28,0,1.41,0,,0,0.03,8.97,0.005,3.79,63.87,0,,,0.07,0,0.27,0,0,0,0,0,0,944,
1612,Inconel738X,,No,22474,,No,3.7,0.0125,0.15,8.96,15.5,0,0.14,,,0,0.1,1.68,0,1.5,59.89,0,,,0.1,1.9,3.75,0,2.55,0,0,0,0.069,,
1613,AlloyT+B,,No,7800,,No,3.1,0.035,0.045,17,15,0,0,0,,0,0,4,0,0,53.86,0,,,0,2.5,4.4,0,0,0,0,0,0.06,996,
1614,MAR-M247:WWS,550,Yes,24530,GammaPrime,No,5.57,0.016,0.14,10.05,8.51,0,0.16,1.55,0,0,0,0.71,0,0,59.31,0,0,0,0,2.99,1.09,0,9.87,0,0,0,0.03,,6
1615,Udimet500,,No,36708,,No,2.99,0.004,0.08,19,19.3,0,0.24,,,0,0.1,4.15,0,0,51.06,0,,,0.13,0,2.95,0,0,0,0,0,0,,
1616,Udimet720P_M,1177,No,23914,GammaPrime,Yes,2.5,0.02,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.07,,18
1617,Waspaloy,,No,19572,,No,1.3,0.011,0.035,13.4,19.7,0.006,0,,,0,0,4.25,0,0,58.32,0,,,0,0,3,0,0,0,0,0,0,,
1618,Udimet520,815,No,36820,GammaPrime,No,2,0.005,0.05,12,19,0,0,0,0,0,0,6,0,0,57,0,0,0,0,0,3,0,1,0,0,0,0,,25
1619,Inconel718,,No,17904,,No,0.5,0,0.04,0,19,0,18.5,,,0,0.2,3,0,5.1,52.5,0,,,0.2,0,0.9,0,0,0,0,0,0,,
1620,Inconel718,1065,No,17904,DoublePrime,No,0.5,0,0.04,0,19,0,18.5,0,0,0,0.2,3,0,5.1,52.5,0,0,0,0.2,0,0.9,0,0,0,0,0,0,,18
1621,Inconel939,,No,43394,,No,1.9,0.009,0.15,19,22.5,0,0,0,,0,0,0,0,1,48,0,,,0,1.4,3.7,0,2,0,0,0,0.09,1050,
1622,RR7080,,No,17420,,No,5.5,0.015,0.14,10,9,0,0,0,,0,0,0,0,0,61,1.5,,,0,2.5,1.5,0,10,0,0,0,0.05,1070,
1623,Udimet520,,No,36876,,No,1.98,0.005,0.04,12.2,12.1,0,0.1,,,0,0.1,6.2,0,0,63.2,0,,,0.1,0,3,0,0.98,0,0,0,0,,
1624,B-1900,415,No,0,GammaPrime,No,6,0.015,0.1,10,8,0,0,0,0,0,0,6,0,0,64,0,0,0,0,4,1,0,0,0,0,0,0.1,,7
1625,HaynesR-41,752,No,16476,GammaPrime,No,1.5,0.006,0.09,11,19,0,5,0,0,0,0.1,10,0,0,49.7,0,0,0,0.5,0,3.1,0,0,0,0,0,0,,20.3
1626,Inconel718p2,,No,27840,,No,0.47,0.005,0.03,0,18.62,0.0025,19.29,0,,0,0.02,2.98,0,5.15,52.38,0,,,0.05,0,1.01,0,0,0,0,0,0,1131,
1627,Inconel713C,,No,0,,No,6.1,0.012,0.12,0,12.5,0,0,,,0,0,4.2,0,2,74,0,,,0,0,0.8,0,0,0,0,0,0.1,,
1628,Udimet520,635,No,36820,GammaPrime,No,2,0.005,0.05,12,19,0,0,0,0,0,0,6,0,0,57,0,0,0,0,0,3,0,1,0,0,0,0,,29
1629,InconelX750,,No,36610,,No,0.7,0,0.04,0,15.5,0,7,0,,0,0.5,0,0,1,73,0,,,0.2,0,2.5,0,0,0,0,0,0,940,
1630,Udimet720P/M,,No,23914,,No,2.5,0.04,0.025,14.75,16,0,0,0,,0,0,3,0,0,57.41,0,,,0,0,5,0,1.25,0,0,0,0.035,1381,
1631,TMW1,,No,32160,,No,2.4,0.02,0.03,14.8,16.3,0,0,0,,0,0,3.1,0,0,59.22,0,,,0,0,2.8,0,1.3,0,0,0,0.03,54,
1632,Inconel625,490,No,3368,DoublePrime,Yes,0.25,0,0.016,0,21.45,0,1.41,0,0,0,0.05,8.89,0.006,3.77,63.84,0,0,0,0.06,0,0.26,0,0,0,0,0,0,,51
1633,PM3030,825,No,3140,yprime+ODS,No,6.6,0,0,0,17,0,0,0,0,0,0,2,0,0,67.8,0,0,0,0,2,0,0,3.5,0.866164748,0,0.233835252,0,,7
1634,Unnamedalloy18,,No,0,,No,6,0.02,0.131,0,6,0,0,,,0,0,2,0,1.5,73.25,0,,,0,0,0,0,11,0,0,0,0.1,,
1635,Inconel718p4,1035,No,27840,DoublePrime,No,0.52,0.006,0.02,0,18.45,0,18.94,0,0,0,0.02,3.05,0,5.17,52.76,0.0083,0,0,0.05,0,1.01,0,0,0,0,0,0,,28.3
1636,MAR-M200+Hf,,No,43550,,No,5,0.015,0.14,10,9,0,0,0,,0,0,0,0,1,59,1.8,,,0,0,2,0,12.5,0,0,0,0.05,540,
1637,Inconel713C,,No,4740,,No,6.3,0.011,0.09,0,13.5,0,0,,,0,0,4.6,0,1.8,71.33,0,,,0,1.5,0.8,0,0,0,0,0,0.07,,
1638,Unnamedalloy26,,No,0,,No,6,0,0.13,0,6,0,0,,,0,0,2,0,0,71.27,0,,,0,3,0,0,11,0,0,0,0.6,,
1639,Inconel706,799,No,14223,Both,No,0.24,0,0.021,0.03,16.2,0,37.3,0,0,0,0,0.05,0,3,41.59,0,0,0,0.05,0,1.52,0,0,0,0,0,0,,31
1640,Inconel718,,No,11666,,No,0.6,0.004,0.03,0,18,0.008,19.2,,,0,0,2.9,0,5.25,53.07,0,,,0,0,0.95,0,0,0,0,0,0,,
1641,Waspaloy,,No,6812,,No,1,0.01,0.025,13,19,0,0,0,,0,0,4,0,3,57.92,0,,,0,0,2,0,0,0,0,0,0.05,723,
1642,Haynes282,,No,10566,,No,1.5,0.005,0.06,10,20,0,1.5,,,0,0.3,10.5,0,0,53.89,0,,,0.15,0,2.1,0,0,0,0,0,0,,
1643,NimonicPE.16,,No,16266,,No,1.2,0.02,0.05,1,16.5,0,33,0,,0,0.1,1.1,0,0,43,0,,,0.1,0,1.2,0,0,0,0,0,0,660,
1644,MAR-M247:WLK,,No,203820,,No,5.5,0.013,0.17,10.15,8.63,0,0.04,0,,0,0,0.73,0,0,59.66,1.4,,,0,3,1,0,9.67,0,0,0,0.04,853,
1645,KM4CP,965,No,11176,GammaPrime,Yes,3.7,0.019,0.0429,17.85,12.44,0,0,0.137,0,0.0046,0,3.99,0,1.92,55.62,0,0,0,0,0,4.24,0,0.02,0,0,0,0.0205,,
1646,Inconel939,598,No,10640,GammaPrime,No,1.9,0.01,0.15,19,22.5,0,0,0,0,0,0,0,0,1,48.24,0,0,0,0,1.4,3.7,0,2,0,0,0,0.1,,6.5
1647,AlloyT+,,No,7800,,No,3.1,0.02,0.045,17,15,0,0,,,0,0,4,0,0,53.88,0,,,0,2.5,4.4,0,0,0,0,0,0.06,,
1648,Inconel713C,,No,34420,,No,6.3,0.011,0.09,0,13.5,0,0,,,0,0,4.6,0,1.8,71.33,0,,,0,1.5,0.8,0,0,0,0,0,0.07,,
1649,Haynes263,298,No,10566,GammaPrime,No,0.6,0.005,0.06,20,20,0,0.7,0,0,0,0.4,6,0,0,49.64,0,0,0,0.2,0,2.4,0,0,0,0,0,0,,58
1650,Inconel706,,No,14223,,No,0.24,0.0045,0.045,0,15.75,0.002,39.03,0,,0,0.06,0,0,2.89,40.19,0,,,0.13,0,1.66,0,0,0,0,0,0,1372,
1651,MAR-M247:WWS,895,Yes,24530,GammaPrime,No,5.57,0.016,0.14,10.05,8.51,0,0.16,1.55,0,0,0,0.71,0,0,59.31,0,0,0,0,2.99,1.09,0,9.87,0,0,0,0.03,,5
1652,Waspaloy,,No,19640,,No,1.5,0.006,0.08,13.5,19,0,2,,,0,0.1,4.3,0,0,56.31,0,,,0.15,0,3,0,0,0,0,0,0.05,,
1653,Inconel718,1319,No,10712,DoublePrime,No,0.7,0.004,0.035,0,17.8,0,18.3,0,0,0,0,2.9,0,5.4,53.86,0,0,0,0,0,1,0,0,0,0,0,0,,20.3
1654,Allvac718PLUS,,No,11666,,No,1.5,0,0,12,18,0,10,,,0,0,2.8,0,5.5,49.5,0,,,0,0,0.7,0,0,0,0,0,0,,
1655,Haynes282,625,No,10566,GammaPrime,No,1.5,0.005,0.06,10,20,0,1.5,0,0,0,0.3,8.5,0,0,55.89,0,0,0,0.15,0,2.1,0,0,0,0,0,0,,37.4
1656,NM3,,No,5972,,No,3.65,0.013,0.024,14.65,11.8,0,0,0,,0,0,3.3,0,0,61.01,0,,,0,0,5.5,0,0,0,0,0,0.052,1250,
1657,Inconel718,,No,15924,,No,0.59,0.003,0.04,0.02,17.53,0,20.01,0,,0,0.24,2.97,0,5.13,52.24,0,,,0.3,0,0.93,0,0,0,0,0,0,1245,
1658,Inconel706,1007,No,14223,Both,No,0.24,0.0045,0.045,0,15.75,0,39.03,0,0,0,0.06,0,0,2.89,40.19,0.002,0,0,0.13,0,1.66,0,0,0,0,0,0,,16
1659,Inconel738,,No,0,,No,3.33,0.011,0.16,8.42,16.08,0,0,0,,0,0,1.74,0,2.61,59.67,0,,,0,1.71,3.56,0,2.61,0,0,0,0.1,1061,
1660,Nimonic075,260,No,1052,Solution,No,0,0,0.1,0,19.5,0,3,0,0,0,0.3,0,0,0,76,0,0,0,0.3,0,0.4,0,0,0,0,0,0,,23
1661,InconelMA6000,632,No,22756,yprime+ODS,No,4.5,0.01,0.05,0,15,0,0,0,0,0,0,2,0,0,69,0,0,0,0,2,2.5,0,4,1.968556244,0,0.531443756,0.15,,
1662,NimonicPK.33,902,No,3670.75,GammaPrime,No,2,0.03,0.05,14,18.5,0,0.3,0,0,0,0.1,7,0,0,56,0,0,0,0.1,0,2,0,0,0,0,0,0,,
1663,Ticolloy11,,No,0,,No,0.87,0.004,0.031,0,17.8,0,18,0,,0.001,0,3.02,0,5.42,53.89,0,,,0,0,0.96,0,0,0,0,0,0,1196,
1664,El-929,,No,6640,,No,4,0.02,0.1,14,10,0,0,,,0,0,4,0,0,60.38,0,,,0,0,2,0.5,5,0,0,0,0,,
1665,Inconel718p2,1177,No,27840,DoublePrime,No,0.47,0.005,0.03,0,18.62,0,19.29,0,0,0,0.02,2.98,0,5.15,52.38,0.0025,0,0,0.05,0,1.01,0,0,0,0,0,0,,21.7
1666,Unnamedalloy5,632,No,12349,GammaPrime,No,1.65,0,0.05,0,20,0,0,0,0,0,0,0,0,0,75.8,0,0,0,0,0,2.5,0,0,0,0,0,0,,8
1667,NimonicPE.16,447,No,16934,GammaPrime,No,1.2,0.02,0.05,1,16.5,0,33,0,0,0,0.1,1.1,0,0,43,0,0,0,0.1,0,1.2,0,0,0,0,0,0,,
1668,Inconel718,900,No,277666,DoublePrime,No,0.5,0.004,0.02,0,18,0,18.1,0,0,0,0,2.9,0,5.3,54.17,0.008,0,0,0,0,1,0,0,0,0,0,0,,
1669,Inconel625,487,No,3354,DoublePrime,Yes,0.28,0,0.026,0,21.28,0,1.41,0,0,0,0.03,8.97,0.005,3.79,63.87,0,0,0,0.07,0,0.27,0,0,0,0,0,0,,46
1670,U720Li,,No,41508,,No,2.49,0.015,0.012,15.3,16.4,0,0,0,,0,0,3.06,0,0,56.35,0,,,0,0,5.04,0,1.3,0,0,0,0.035,1225,
1671,J16,334,No,4500,Solution,No,0.1,0,0.008,0,12.2,0,0,0,0,0,0,15.5,0,0,64.52,0,0,0,0,1,0,0,6.6,0.07,0,0,0,,
1672,Ticolloy12,600,No,0,Both,No,0.94,0.003,0.032,0,17.53,0,17.83,0,0,0.001,0,3.05,0,5.72,53.93,0,0,0,0,0,0.96,0,0,0,0,0,0,,9
1673,Rene220,,No,0,,No,1.3,0.015,0.04,20,20.1,0,1,,,0,0,2.4,0,1,48.95,0,,,0.5,2.1,2.5,0,0,0,0,0,0.1,,
1674,Inconel738LC,827,No,22474,GammaPrime,No,3.48,0.01,0.1,8.36,16.06,0,0,0,0,0,0,1.85,0,0,66.79,0,0,0,0,0,3.35,0,0,0,0,0,0,,10
1675,Inconel718KC1557,1278.3,No,37810.8,DoublePrime,No,0.06,0.0054,0.058,0.36,17.71,0,19.09,0,0,0,0.11,2.93,0,5.17,52.97,0.001,0,0,0.6,0,0.94,0,0,0,0,0,0,,9.4
1676,Unnamedalloy7,967,No,12349,GammaPrime,No,0,0,0.05,0,20,0,0,0,0,0,0,0,0,8,71.95,0,0,0,0,0,0,0,0,0,0,0,0,,14.3
1677,Udimet720,,No,14386,,No,2.5,0.033,0.035,14.7,18,0,0,0,,0,0,3,0,0,55.15,0,,,0,0,5,0,1.25,0,0,0,0.03,1578,
1678,Rene220,,No,0,,No,1.3,0.015,0.04,12.9,15,0,1,0,,0,0,2.4,0,1,61.15,0,,,0.5,2.1,2.5,0,0,0,0,0,0.1,769,
1679,Nimonic075,,No,1052,,No,0,0,0.1,0,19.5,0,3,0,,0,0.3,0,0,0,76,0,,,0.3,0,0.4,0,0,0,0,0,0,540,
1680,Haynes242,628,No,4500,Solution,No,0,0,0,0,8,0,0,0,0,0,0,25,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,,
1681,Inconel718_Ta,,No,9141,,No,0.47,0.0043,0.044,0,19.2,0,18,0,,0,0,3,0,0.02,49.1,0,,,0.02,9.1,1.04,0,0,0,0,0,0,1108,
1682,Inconel792,,No,22474,,No,3.1,0.02,0.12,9,12.4,0,0,0,,0,0,1.9,0,0,61,0,,,0,3.9,4.5,0,3.8,0,0,0,0.1,1170,
1683,Alloy903,758,No,11650,GammaPrime,No,0.81,0.006,0.03,15,0.16,0,43.25,0,0,0,0,0,0,1.47,37.8,0,0,0,0,0,1.47,0,0,0,0,0,0,,4.3
1684,Inconel713C,718,Yes,19620,GammaPrime,No,6.3,0.011,0.09,0,13.5,0,0,0,0,0,0,4.6,0,1.8,71.33,0,0,0,0,1.5,0.8,0,0,0,0,0,0.07,,7.2
1685,Alloy909,,No,11694,,No,0.05,0,0.005,12.9,0.1,0,41.4,0,,0,0,0.03,0,5.1,38.44,0,,,0.42,0,1.56,0,0,0,0,0,0,776,
1686,Inconel706,,No,14223,,No,0.24,0.0045,0.045,0,15.75,0.002,39.03,0,,0,0.06,0,0,2.89,40.19,0,,,0.13,0,1.66,0,0,0,0,0,0,1027,
1687,Allvac718PLUS,,No,11666,,No,1.5,0,0,9,18,0,0.3,,,0,0,2.8,0,5.5,62.2,0,,,0,0,0.7,0,0,0,0,0,0,,
1688,CMSX2-singlecrystal,,No,27594,,No,5.6,0,0,4.6,8,0,0,,,0,0,0.6,0,0,66,0,,,0,5.8,0.9,0,7.9,0,0,0,0,,
1689,TMW4,,No,32160,,No,1.9,0.02,0.02,26.3,14.9,0,0,0,,0,0,2.8,0,0,46.84,0,,,0,0,6,0,1.2,0,0,0,0.02,1453,
1690,Inconel718KC1557,,No,985003.3333,,No,0.06,0.0054,0.058,0.36,17.71,0.001,19.09,0,,0,0.11,2.93,0,5.17,52.97,0,,,0.6,0,0.94,0,0,0,0,0,0,1398.3,
1691,Inconel718KC1554,,No,11670,,No,0.61,0.0044,0.061,0.36,17.86,0.001,19.95,0,,0,0.12,2.95,0,3.64,52.38,0,,,0.64,0,0.96,0,0,0,0,0,0,1153.5,
1692,Rene41,,No,16424,,No,1.5,0.005,0.09,11,19,0,0,,,0,0,10,0,0,55,0,,,0,0,3.1,0,0,0,0,0,0,,
1693,MERL76,160,No,2352,GammaPrime,No,5,0.02,0.02,18.5,12.5,0,0,0.4,0,0,0,3.2,0,1.4,54.5,0,0,0,0,0,4.4,0,0,0,0,0,0.06,,67
1694,Inconel939,,No,13840,,No,2,0.004,0.15,19,22.4,0.005,0,,,0,0,0.01,0,1.02,48.23,0,,,0.001,1.45,3.71,0,2.02,0,0,0,0.003,,
1695,Inconel738,,No,0,,No,3.4,0.011,0.17,8.7,16.2,0,0,0,,0,0,3.1,0,1,62.22,0,,,0,1.7,3.3,0,0.1,0,0,0,0.1,1085,
1696,Rene220,,No,0,,No,1.3,0.015,0.04,12.9,21,0,1,0,,0,0,2.4,0,1,55.15,0,,,0.5,2.1,2.5,0,0,0,0,0,0.1,866,
1697,Ticolloy4,,No,0,,No,0.63,0.004,0.028,0,17.8,0,18.3,0,,0.001,0,3.05,0,5.28,53.57,0,,,0,0,1.34,0,0,0,0,0,0,1477,
1698,Udimet720,1187,No,14386,GammaPrime,No,2.5,0.033,0.035,14.7,18,0,0,0,0,0,0,3,0,0,55.15,0,0,0,0,0,5,0,1.25,0,0,0,0.03,,15.3
1699,Unnamedalloy30,,No,11702,,No,0.55,0.004,0.03,19.6,0,0,44.86,,,0,0,0,0,4.02,29.2,0,,,0.45,0,1.29,0,0,0,0,0,0,,
1700,GH220,,No,10980,,No,4.12,0.013,0.046,14.55,9.9,0.004,0,,,0.005,0.02,5.4,0,0,57.97,0,,,0.06,0,2.3,0.27,5.35,0,0,0,0,,
1701,RR7080,815,No,17420,GammaPrime,No,5.5,0.015,0.14,10,9,0,0,1.5,0,0,0,0,0,0,61,0,0,0,0,2.5,1.5,0,10,0,0,0,0.05,,5
1702,Inconel939,652,No,13840,GammaPrime,No,2,0.004,0.15,19,22.4,0,0,0,0,0,0,0.01,0,1.02,48.23,0.005,0,0,0.001,1.45,3.71,0,2.02,0,0,0,0.003,,
1703,GH033,,No,0,,No,0.7,0.007,0.02,0,20,0,0,,,0.006,0,0,0,0,76.77,0,,,0,0,2.5,0,0,0,0,0,0,,
1704,Rene80,,No,47980,,No,3,0.015,0.17,9.5,14,0,0,,,0,0,4,0,0,60,0,,,0,0,5,0,4,0,0,0,0.03,,
1705,J15,358,No,4500,Solution,No,0.1,0,0.005,0,12.3,0,0,0,0,0,0,17.3,0,0,64.42,0,0,0,0,1,0,0,4.8,0.08,0,0,0,,
1706,Inconel625,384,No,12750,DoublePrime,No,0.2,0,0.05,0,21.5,0,2,0,0,0,0.2,9,0,1,65.65,0,0,0,0.2,0,0.2,0,0,0,0,0,0,,
1707,Udimet720P/M,,No,23914,,No,2.5,0.02,0.025,14.75,16,0,0,0,,0,0,3,0,0,57.41,0,,,0,0,5,0,1.25,0,0,0,0.07,1569,
1708,HastelloyX,,No,1121,,No,0,0,0.1,1.5,22,0,18.5,0,,0,0.5,9,0,0,47,0,,,0.5,0,0,0,0.6,0,0,0,0,570,
1709,Inconel706,,No,14223,,No,0.23,0.0045,0.041,0,15.79,0.001,37.88,0,,0,0.07,0,0,3.05,41.16,0,,,0.09,0,1.68,0,0,0,0,0,0,1007,
1710,Inconel718KC1551,790,No,38170.8,DoublePrime,No,1.28,0.0063,0.059,0.63,17.23,0,18.3,0,0,0,0.14,2.99,0,3.85,53.68,0.003,0,0,0.34,0,1.45,0,0,0,0,0,0,,32.9
