,names,Yield Strength,Pressure treated,Area under heat treatment curve,Strengthening Precipitate Phase,Powder processed,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,Ultimate Tensile Strength,Elongation
758,Inconel706,,No,14223,,No,0.24,0,0.021,0.03,16.2,0,37.3,0,,0,0,0.05,0,3,41.59,0,,,0.05,0,1.52,0,0,0,0,0,0,845,
759,SEL-15,752,No,3040,GammaPrime,No,5.4,0.015,0.07,14.5,11,0,0,0,0,0,0,6.5,0,0.5,58,0,0,0,0,0,2.5,0,1.5,0,0,0,0,,21
760,Ticolloy12,,No,0,,No,0.94,0.003,0.032,0,17.53,0,17.83,0,,0.001,0,3.05,0,5.72,53.93,0,,,0,0,0.96,0,0,0,0,0,0,1532,
761,Unnamedalloy3,,No,4995,,No,0,0,0,0,24,0,33.17,,,0,0,0,0,3,40,0,,,0,0,3,0,0,0,0,0,0,,
762,M22,550,No,0,GammaPrime,No,6.3,0,0.13,0,5.7,0,0,0,0,0,0,2,0,0,71,0,0,0,0,3,0,0,11,0,0,0,0.6,,7
763,Nimonic115,725,No,8379,GammaPrime,No,4.9,0.16,0.15,13.2,14.3,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,3.7,0,0,0,0,0,0.04,,26
764,Incoloy909,,No,11694,,No,0,0.001,0.01,13,0,0,42,0,,0,0,0,0,4.7,38,0,,,0.4,0,1.5,0,0,0,0,0,0,1025,
765,Rene220,,No,6590,,No,0.5,0.01,0.015,12,18,0,0,,,0,0,3,0,5,57.48,0,,,0,3,1,0,0,0,0,0,0,,
766,Rene95,,No,1964,,No,3.43,0.009,0.07,7.85,13.63,0.007,0,,,0,0,3.5,0,3.46,62,0,,,0.01,0,2.48,0,3.5,0,0,0,0.05,,
767,RR1000+,,No,7960,,No,3.1,0.02,0.045,17,15,0,0,0,,0,0,4.5,0,0,53.53,0.35,,,0,2,4.4,0,0,0,0,0,0.06,1173,
768,Rene95,1255,No,68424,GammaPrime,No,3.5,0.01,0.15,8,14,0,0,0,0,0,0,3.5,0,3.5,61,0,0,0,0,0,2.5,0,3.5,0,0,0,0.05,,12
769,Rene220,,No,6812,,No,0.5,0.01,0.015,12,18,0,0,0,,0,0,3,0,5,57.48,0,,,0,3,1,0,0,0,0,0,0,917,
770,Inconel718,,No,11666,,No,0.6,0.004,0.03,0,18,0.004,19.2,,,0,0,2.9,0,5.25,53.07,0,,,0,0,0.95,0,0,0,0,0,0,,
771,Waspaloy5,931,No,19620,GammaPrime,No,1.34,0.005,0.034,13.25,19.2,0,0,0,0,0,0,4.34,0,0,58.76,0,0,0,0,0,3.07,0,0,0,0,0,0,,27
772,Inconel718KC1552,879.1,No,37810.8,DoublePrime,No,0.26,0.0055,0.054,0.36,18.02,0,20.71,0,0,0,0.11,2.86,0,3.94,51.99,0.002,0,0,0.31,0,0.52,0,0,0,0,0,0,,21.2
773,Udimet720P_M,1178,No,23914,GammaPrime,Yes,2.5,0.02,0.025,14.75,16,0,0,0.75,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,19
774,Inconel713C,,No,4740,,No,6.3,0.011,0.09,0,13.5,0,0,0,,0,0,4.6,0,1.8,71.33,0,,,0,1.5,0.8,0,0,0,0,0,0.07,833,
775,Inconel731X,,No,0,,No,5.6,0.014,0.16,9.72,9.6,0,0.23,,,0,0,2.46,0,0,66.66,0,,,0.045,0,4.66,0.85,0,0,0,0,0,,
776,Inconel713C,,No,0,,No,6.1,0.012,0.12,0,12.5,0,0,0,,0,0,4.2,0,2,74,0,,,0,0,0.8,0,0,0,0,0,0.1,470,
777,Inconel731X,,No,0,,No,5.6,0.014,0.16,9.72,9.6,0,0.23,,,0,0,2.46,0,0,66.66,0,,,0.045,0,4.66,0.85,0,0,0,0,0,,
778,Inconel738X,,No,22474,,No,3.7,0.0125,0.15,8.96,15.5,0,0.14,0,,0,0.1,1.68,0,1.5,59.89,0,,,0.1,1.9,3.75,0,2.55,0,0,0,0.069,836.3,
779,Inconel718,891,Yes,16130,DoublePrime,No,0.56,0,0.05,0,19.3,0,19.96,0,0,0,0.05,3.1,0,4.9,51.1,0,0,0,0.05,0,0.93,0,0,0,0,0,0,,25.9
780,MAR-M247:WLK,,No,203820,,No,5.5,0.013,0.17,10.15,8.63,0,0.04,0,,0,0,0.73,0,0,59.66,1.4,,,0,3,1,0,9.67,0,0,0,0.04,1048,
781,Inconel713C,,No,34340,,No,6.3,0.011,0.09,0,13.5,0,0,,,0,0,4.6,0,1.8,71.33,0,,,0,1.5,0.8,0,0,0,0,0,0.07,,
782,Inconel625,479,No,1038,DoublePrime,No,0.2,0,0.05,0,21.5,0,2,0,0,0,0.2,9,0,3.6,63.05,0,0,0,0.2,0,0.2,0,0,0,0,0,0,,54
783,N-155,,No,4441,,No,0,0,0.15,20,21,0,30,0,,0,1.5,3,0.15,1,20,0,,,0.5,0,0,0,2.5,0,0,0,0,650,
784,KM47,,No,11176,,No,3.41,0.011,0.0617,17.66,12.5,0,0,,,0.0016,0,3.87,0,1.89,55.9,0.314,,,0,0,4.26,0,0.1,0,0,0,0.022,,
785,Inconel718,,No,15480,,No,2.04,0.0019,0.048,0,16.6,0,13.71,0,,0,0,3.09,0,3.55,57.45,0,,,0,0,1.21,0,2.3,0,0,0,0,1058,
786,SEL,,No,12160,,No,4.4,0.015,0.08,22,15,0,0,,,0,0,4.5,0,0,51,0,,,0,0,2.4,0,0,0,0,0,0,,
787,Inconel939,,No,13840,,No,2,0.004,0.15,19,22.4,0.005,0,0,,0,0,0.01,0,1.02,48.23,0,,,0.001,1.45,3.71,0,2.02,0,0,0,0.003,953,
788,AlloyT+B,911,No,7960,GammaPrime,Yes,3.1,0.035,0.045,17,15,0,0,0,0,0,0,4,0,0,53.86,0,0,0,0,2.5,4.4,0,0,0,0,0,0.06,,29.75
789,Inconel718KC1543,974.9,No,38170.8,DoublePrime,No,1.12,0.0099,0.058,0.36,17.4,0,14.94,0,0,0,0.11,3.02,0,6.47,54.2,0.005,0,0,0.92,0,1.37,0,0,0,0,0,0,,11.1
790,SEL-15,952,No,3040,GammaPrime,No,5.4,0.015,0.07,14.5,11,0,0,0,0,0,0,6.5,0,0.5,58,0,0,0,0,0,2.5,0,1.5,0,0,0,0,,15
791,Inconel718,,No,12890,,No,0.5,0.004,0.02,0,18,0.008,18.1,,,0,0,2.9,0,5.3,54.17,0,,,0,0,1,0,0,0,0,0,0,,
792,Unnamedalloy7,920,No,12349,GammaPrime,No,0,0,0.05,0,20,0,0,0,0,0,0,0,0,8,71.95,0,0,0,0,0,0,0,0,0,0,0,0,,11.7
793,Inconel718,,No,13849,,No,0.5,0,0.04,0,19,0,18.5,0,,0,0.2,3,0,5.1,52.5,0,,,0.2,0,0.9,0,0,0,0,0,0,885,
794,Inconel738,847,No,0,GammaPrime,No,3.39,0.011,0.17,8.57,15.91,0,0,0,0,0,0,2.59,0,0.02,62.22,0,0,0,0,1.68,3.34,0,2.53,0,0,0,0.1,,10.2
795,Inconel718,544,No,277666,DoublePrime,No,0.5,0.004,0.02,0,18,0,18.1,0,0,0,0,2.9,0,5.3,54.17,0.008,0,0,0,0,1,0,0,0,0,0,0,,
796,SEL,,No,12160,,No,4.4,0.015,0.08,22,15,0,0,0,,0,0,4.5,0,0,51,0,,,0,0,2.4,0,0,0,0,0,0,1020,
797,Inconel718,,No,12230,,No,2.33,0.0041,0.059,0,17.2,0,19.23,0,,0,0,2.98,0,3.16,53.56,0,,,0,0,1.48,0,0,0,0,0,0,953,
798,Udimet500,,No,36708,,No,2.99,0.004,0.08,19,19.3,0,0.24,,,0,0.1,4.15,0,0,51.06,0,,,0.13,0,2.95,0,0,0,0,0,0,,
799,Nimonic105,,No,35124,,No,4.7,0.005,0.13,20,15,0,0,,,0,0.3,5,0,0,53,0,,,0.3,0,1.2,0,0,0,0,0,0.1,,
800,Inconel718,,No,3145,,No,0.56,0,0.05,0,19.3,0,19.96,0,,0,0.05,3.1,0,4.9,51.1,0,,,0.05,0,0.93,0,0,0,0,0,0,977,
801,Rene95,,No,46848,,No,3.5,0.01,0.15,8,14,0,0,0,,0,0,3.5,0,3.5,61,0,,,0,0,2.5,0,3.5,0,0,0,0.05,1550,
802,Inconel731,,No,0,,No,5.5,0.015,0.18,10,9.5,0,0,0,,0,0,2.5,0,0,67,0,,,0,0,4.6,1,0,0,0,0,0.06,750,
803,NimonicPE.16,170,No,16934,GammaPrime,No,1.2,0.02,0.05,1,16.5,0,33,0,0,0,0.1,1.1,0,0,43,0,0,0,0.1,0,1.2,0,0,0,0,0,0,,
804,KM48,,No,11176,,No,3.81,0.034,0.0633,17.56,12.3,0,0,0,,0.0014,0,4.01,0,1.97,55.53,0.319,,,0,0,4.38,0,0,0,0,0,0.0235,1369,
805,Allvac718PLUS,,No,11666,,No,1.5,0,0,12,18,0,10,,,0,0,2.8,0,5.5,49.5,0,,,0,0,0.7,0,0,0,0,0,0,,
806,Inconel718,1132,No,15924,DoublePrime,No,0.57,0.002,0.04,0.02,17.97,0,19.15,0,0,0,0.17,3.06,0,5.24,52.59,0,0,0,0.25,0,0.94,0,0,0,0,0,0,,4.9
807,Ticolloy4,,No,0,,No,0.63,0.004,0.028,0,17.8,0,18.3,,,0.001,0,3.05,0,5.28,53.57,0,,,0,0,1.34,0,0,0,0,0,0,,
808,M22,,No,0,,No,6.3,0,0.13,0,5.7,0,0,0,,0,0,2,0,0,71,0,,,0,3,0,0,11,0,0,0,0.6,730,
809,Inconel718KC1551,948,No,37810.8,DoublePrime,No,1.28,0.0063,0.059,0.63,17.23,0,18.3,0,0,0,0.14,2.99,0,3.85,53.68,0.003,0,0,0.34,0,1.45,0,0,0,0,0,0,,23.3
810,Astroloy,965,No,36924,GammaPrime,No,4,0.03,0.06,17,15,0,0,0,0,0,0,5.3,0,0,55,0,0,0,0,0,3.5,0,0,0,0,0,0,,18
811,U720Li,,No,40968,,No,2.47,0.018,0.023,15.3,16.2,0,0,,,0,0,3.06,0,0,56.38,0,,,0,0,5.18,0,1.33,0,0,0,0.039,,
812,Inconel706,,No,15675,,No,0.26,0.0034,0.008,0,15.65,0.003,37.1,,,0,0.02,0.02,0.0046,2.96,42.38,0,,,0.05,0,1.54,0,0,0,0,0,0,,
813,Inconel718,,No,15480,,No,2.04,0.0019,0.048,0,16.6,0,13.71,0,,0,0,3.09,0,3.55,57.45,0,,,0,0,1.21,0,2.3,0,0,0,0,1535,
814,Inconel718,1104,No,49666,DoublePrime,No,0.5,0.004,0.02,0,18,0,18.1,0,0,0,0,2.9,0,5.3,54.17,0.008,0,0,0,0,1,0,0,0,0,0,0,,
815,Inconel738X,400,No,22474,GammaPrime,No,3.7,0.0125,0.15,8.96,15.5,0,0.14,0,0,0,0.1,1.68,0,1.5,59.89,0,0,0,0.1,1.9,3.75,0,2.55,0,0,0,0.069,,18
