,Name,"Tensile Strength, Yield",Heat treatment 1 Temperature,Heat treatment 1 Time,Heat treatment 2 Temperature,Heat treatment 2 Time,Heat treatment 3 Temperature,Heat treatment 3 Time,Heat treatment 4 Temperature,Heat treatment 4 Time,Heat treatment 5 Temperature,Heat treatment 5 Time,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,"Tensile Strength, Ultimate",Elongation at Break
626,Waspaloy1652,,1190,24,847,4,760,16,0,0,0,0,1.32,0.003,0.035,10,19.4,0,0,,,0,0,4.02,0,0,62.11,0,,,0,0,3.05,0,0,0,0,0,0.06,,
627,Inconel731X,,0,0,0,0,0,0,0,0,0,0,5.6,0.014,0.16,9.72,9.6,0,0.23,,,0,0,2.46,0,0,66.66,0,,,0.045,0,4.66,0.85,0,0,0,0,0,,
628,Inconel718,702,1135,10,955,1,720,8,620,8,0,0,0.53,0,0.05,0,17.9,0,18.92,0,0,0,0.06,3,0,5,53.5,0,0,0,0.05,0,0.99,0,0,0,0,0,0,,12.7
629,RR7080,550,871,20,0,0,0,0,0,0,0,0,5.5,0.015,0.14,10,9,0,0,1.5,0,0,0,0,0,0,61,0,0,0,0,2.5,1.5,0,10,0,0,0,0.05,,25
630,Rene125+Hf,,0,0,0,0,0,0,0,0,0,0,4.8,0.015,0.11,10,8.5,0,0,0,,0,0,2,0,0,59,1.4,,,0,3.8,2.5,0,8,0,0,0,0.05,860,
631,RR1000+,,1150,4,800,4,0,0,0,0,0,0,3.1,0.02,0.045,17,15,0,0,0,,0,0,4.5,0,0,53.53,0.35,,,0,2,4.4,0,0,0,0,0,0.06,1613,
632,Inconel625,,1149,1,0,0,0,0,0,0,0,0,0.2,0,0.05,0,21.5,0,2.5,0,,0,0.2,9,0,3.6,61,0,,,0.2,0,0.2,0,0,0,0,0,0,965,
633,PM1000,693,1315,1,0,0,0,0,0,0,0,0,0.3,0,0.04,0,21,0,0.6,0,0,0,0,0,0,0,77.06,0,0,0,0,0,0.4,0,0,0.472453499,0,0.127546501,0,,
634,Inconel718p3,1179,1160,24,0,0,0,0,0,0,0,0,0.52,0.006,0.03,0,18.56,0,18.76,0,0,0,0.02,3.01,0,5.24,52.79,0.0033,0,0,0.06,0,1,0,0,0,0,0,0,,21.7
635,Inconel625,,996,1,622,4,0,0,0,0,0,0,0.32,0,0.019,0,21.49,0,1.41,0,,0,0.04,8.88,0.006,3.77,63.74,0,,,0.07,0,0.26,0,0,0,0,0,0,942,
636,Inconel718,740,982,1,718,8,621,18,0,0,0,0,0.5,0,0.04,0,19,0,18.5,0,0,0,0.2,3,0,5.1,52.5,0,0,0,0.2,0,0.9,0,0,0,0,0,0,,25
637,Udimet710,,1149,2,1066,4,760,16,0,0,0,0,2.48,0.015,0.06,15.5,17.8,0,0.14,,,0,0.03,3.17,0,0,54.09,0,,,0,0,4.97,0,1.75,0,0,0,0,,
638,Udimet710,1187,1149,2,1066,4,760,16,0,0,0,0,2.48,0.015,0.06,15.5,17.8,0,0.14,0,0,0,0.03,3.17,0,0,54.09,0,0,0,0,0,4.97,0,1.75,0,0,0,0,,15.3
639,Inconel718P/M,,982,2,718,8,621,8,0,0,0,0,5.45,0,0.04,0,18.61,0,18.61,,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,,
640,J15,458,1200,0.5,650,6,0,0,0,0,0,0,0.1,0,0.005,0,12.3,0,0,0,0,0,0,17.3,0,0,64.42,0,0,0,0,1,0,0,4.8,0.08,0,0,0,,
641,Inconel731,,0,0,0,0,0,0,0,0,0,0,5.5,0.015,0.18,10,9.5,0,0,0,,0,0,2.5,0,0,67,0,,,0,0,4.6,1,0,0,0,0,0.06,835,
642,MAR-M246+Hf,813,843,50,0,0,0,0,0,0,0,0,5.5,0.015,0.14,10,9,0,0,1.8,0,0,0,2.5,0,0,63,0,0,0,0,1.5,1.5,0,10,0,0,0,0.05,,7.4
643,B-1900,,0,0,0,0,0,0,0,0,0,0,6,0.015,0.1,10,8,0,0,0,,0,0,6,0,0,64,0,,,0,4,1,0,0,0,0,0,0.1,955,
644,Udimet720P_M,1079,1129,2,760,8,649,24,0,0,0,0,2.5,0.03,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,31
645,Inconel718,983,980,1,850,1,650,16,0,0,0,0,2.33,0.0041,0.059,0,17.2,0,19.23,0,0,0,0,2.98,0,3.16,53.56,0,0,0,0,0,1.48,0,0,0,0,0,0,,23.5
646,Inconel718P/M,,871,2,718,8,621,8,0,0,0,0,5.45,0,0.04,0,18.61,0,18.61,,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,,
647,Udimet520,910,1107,4,843,24,760,16,0,0,0,0,2,0.005,0.05,12,19,0,0,0,0,0,0,6,0,0,57,0,0,0,0,0,3,0,1,0,0,0,0,,7
648,TRW-NASAVIA,,0,0,0,0,0,0,0,0,0,0,5.4,0.02,0.13,7.5,6.1,0,0,,,0,0,2,0,0.5,61,0,,,0,9,1,0,5.8,0,0,0,0.13,,
649,Astroloy,,1093,4,871,8,982,4,649,24,0,0,4,0.03,0.06,17,15,0,0,,,0,0,5.3,0,0,55,0,,,0,0,3.5,0,0,0,0,0,0,,
650,Rene95,,899,24,1093,1,0,760,0,0,0,0,3.5,0.009,0.074,8.12,13.66,0.006,0.11,0,,0,0,3.46,0.0028,3.45,61.5,0,,,0,0,2.54,0,3.42,0,0,0,0.044,1489,
651,CMSX2-singlecrystal,1135,1316,4,982,5,871,20,0,0,0,0,5.6,0,0,4.6,8,0,0,0,0,0,0,0.6,0,0,66,0,0,0,0,5.8,0.9,0,7.9,0,0,0,0,,10
652,Inconel718,,1024,1,788,6,0,5,0,0,0,0,0.52,0,0.018,0,17.64,0,19.74,0,,0,0,2.89,0,5.08,53.16,0,,,0,0.01,0.94,0,0,0,0,0,0,1154,
653,MAR-M247,705,843,50,0,0,0,0,0,0,0,0,5.5,0.015,0.14,10,8.3,0,0,1.5,0,0,0,0.7,0,0,60,0,0,0,0,3,1,0,10,0,0,0,0.05,,3.2
654,Unnamedalloy27,,0,0,0,0,0,0,0,0,0,0,6,0.02,0.13,0,6,0,0,,,0,0,2,0,0,71.35,0,,,0,3,0,0,11,0,0,0,0.5,,
655,RR1000,,1130,4,800,16,0,0,0,0,0,0,3,0.015,0.027,18.5,15,0,0,,,0,0,5,0,0,52.05,0.75,,,0,2,3.6,0,0,0,0,0,0.06,,
656,TMW2,972,1100,4,650,24,760,16,0,0,0,0,2.3,0.02,0.03,21.8,14.4,0,0,0,0,0,0,2.8,0,0,51.42,0,0,0,0,0,5.9,0,1.3,0,0,0,0.03,,17.5
657,AlloyT+B,797,1150,4,800,4,0,0,0,0,0,0,3.1,0.035,0.045,17,15,0,0,0,0,0,0,4,0,0,53.86,0,0,0,0,2.5,4.4,0,0,0,0,0,0.06,,19.66
658,U720Li,875,1157,4,1090,4,845,24,760,16,0,0,2.63,0.014,0.009,14.81,16.02,0,0,0,0,0,0,2.98,0,0,57.25,0,0,0,0,0,5.1,0,1.19,0,0,0,0,,31
659,Udimet720,,871,2,760,8,649,24,0,0,0,0,2.5,0.017,0.015,14.75,16,0,0,0,,0,0,3,0,0,57.43,0,,,0,0,5,0,1.25,0,0,0,0.035,1547,
660,MAR-M252,,1038,4,760,16,0,0,0,0,0,0,1,0.005,0.15,10,20,0,0,,,0,0.5,10,0,0,55,0,,,0.5,0,2.6,0,0,0,0,0,0,,
661,TDNickel,,982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,98,0,,,0,0,0,0,0,0,0,0,0,195,
662,Nimonic75,,1,1,0,0,0,0,0,0,0,0,0,0,0.1,0,19.5,0,3,,,0,0.3,0,0,0,76,0,,,0.3,0,0.4,0,0,0,0,0,0,,
663,Unnamedalloy6,1055,1149,1,700,16,0,0,0,0,0,0,1.7,0,0.05,0,20,0,0,0,0,0,0,0,0,5.2,73.05,0,0,0,0,0,0,0,0,0,0,0,0,,22.7
664,J5,,1200,0,750,5,750,6,0,0,0,0,0.1,0,0.01,0,12.3,0,0,,,0,0,22,0,0,64.51,0,,,0,1,0,0,0,0,0,0,0,,
665,Inconel718,,941,4,760,16,0,0,0,0,0,0,0.59,0.003,0.04,0.02,17.53,0,20.01,,,0,0.24,2.97,0,5.13,52.24,0,,,0.3,0,0.93,0,0,0,0,0,0,,
666,KM41,,1191,4,843,4,760,4,0,0,0,0,3.67,0.009,0.024,16.24,12.58,0,0,0,,0.0021,0,4.03,0,1.96,57.06,0,,,0,0,4.4,0,0,0,0,0,0.027,1365,
667,Nimonic263,,1149,0,799,8,799,8,0,0,0,0,0.5,0.001,0.06,20,20,0,0,0,,0,0.4,5.9,0,0,51,0,,,0.3,0,2.1,0,0,0,0,0,0.02,650,
668,Udimet720P_M,1418,1175,2,760,8,649,24,0,0,0,0,2.5,0.03,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,28
669,Haynes242,616,1200,0.5,650,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,25,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,,
670,AlloyT+,,704,4,800,4,0,0,0,0,0,0,3.1,0.02,0.045,17,15,0,0,,,0,0,4,0,0,53.88,0,,,0,2.5,4.4,0,0,0,0,0,0.06,,
671,Rene95,1076,1093,1,0,4,760,16,0,0,0,0,3.43,0.009,0.07,7.85,13.63,0,0,0,0,0,0,3.5,0,3.46,62,0.007,0,0,0.01,0,2.48,0,3.5,0,0,0,0.05,,14
672,Inconel718,,980,1,850,1,650,16,0,0,0,0,2.33,0.0041,0.059,0,17.2,0,19.23,0,,0,0,2.98,0,3.16,53.56,0,,,0,0,1.48,0,0,0,0,0,0,1073,
673,Inconel718,935,954,1,718,8,621,8,0,0,0,0,0.5,0.004,0.02,0,18,0,18.1,0,0,0,0,2.9,0,5.3,54.17,0.008,0,0,0,0,1,0,0,0,0,0,0,,
674,MAR-M247,,843,50,0,0,0,0,0,0,0,0,5.5,0.015,0.14,10,8.3,0,0,0,,0,0,0.7,0,0,60,1.5,,,0,3,1,0,10,0,0,0,0.05,1035,
675,Inconel718,,980,1,850,1,650,16,0,0,0,0,2.33,0.0041,0.059,0,17.2,0,19.23,,,0,0,2.98,0,3.16,53.56,0,,,0,0,1.48,0,0,0,0,0,0,,
676,Nimonic075,,1052,1,0,0,0,0,0,0,0,0,0,0,0.1,0,19.5,0,3,0,,0,0.3,0,0,0,76,0,,,0.3,0,0.4,0,0,0,0,0,0,150,
677,Inconel100,,0,0,0,0,0,0,0,0,0,0,5.5,0.014,0.18,15,10,0,0,,,0,0,3,0,0,60,0,,,0,0,4.7,1,0,0,0,0,0.06,,
678,Alloy909,730,982,1,720,8,620,8,0,0,0,0,0.06,0.007,0.01,13.2,0.03,0,45.22,0,0,0,0,0,0,1.42,38.2,0,0,0,0.43,0,1.42,0,0,0,0,0,0,,24.1
679,RR1000+,,1190,4,800,4,0,0,0,0,0,0,3.1,0.02,0.045,17,15,0,0,0,,0,0,4.5,0,0,53.53,0.35,,,0,2,4.4,0,0,0,0,0,0.06,1052,
680,EP741NP,,1210,8,1160,32,871,32,0,0,0,0,5.02,0.015,0.04,15.8,8.2,0,0,0,,0,0,3.9,0,2.56,57.47,0.24,,,0,0,1.45,0,5.3,0,0,0,0.01,1303,
681,Inconel713C,,1185,4,925,16,925,16,0,0,0,0,6.2,0.011,0.1,0,13.1,0,0,,,0,0,4.5,0,1.6,71.87,0,,,0,1.75,0.8,0,0,0,0,0,0.07,,
682,Inconel625,602,927,1,649,4,0,0,0,0,0,0,0.25,0,0.021,0,21.43,0,1.28,0,0,0,0.03,8.88,0.006,3.77,64.02,0,0,0,0.05,0,0.26,0,0,0,0,0,0,,37.5
683,Inconel939,,1160,4,1000,6,0,0,0,0,0,0,1.9,0.01,0.15,19,22.5,0,0,,,0,0,0,0,1,48.24,0,,,0,1.4,3.7,0,2,0,0,0,0.1,,
684,El-929,,1220,2,1050,4,0,0,0,0,0,0,4,0.02,0.1,14,10,0,0,0,,0,0,4,0,0,60.38,0,,,0,0,2,0.5,5,0,0,0,0,1177,
685,Unnamedalloy31,,982,1,720,8,620,8,0,0,0,0,0.54,0.004,0.04,22.5,0,0,41.74,0,,0,0,0,0,4.07,29.5,0,,,0.31,0,1.3,0,0,0,0,0,0,1172,
686,HaynesR-41,719,1079,4,760,16,0,0,0,0,0,0,1.5,0.006,0.09,11,19,0,5,0,0,0,0.1,10,0,0,49.7,0,0,0,0.5,0,3.1,0,0,0,0,0,0,,27.3
687,Haynes242,614,1200,0.5,650,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,25,0,0,66,0,0,0,0,1,0,0,0,0,0,0,0,,
688,Udimet710,1077,1149,2,1066,4,760,16,0,0,0,0,2.48,0.015,0.06,15.5,17.8,0,0.14,0,0,0,0.03,3.17,0,0,54.09,0,0,0,0,0,4.97,0,1.75,0,0,0,0,,23
689,B-1900,,0,0,0,0,0,0,0,0,0,0,6,0.015,0.1,10,8,0,0,,,0,0,6,0,0,64,0,,,0,4,1,0,0,0,0,0,0.1,,
690,MAR-M200+Hf,,871,50,0,0,0,0,0,0,0,0,5,0.015,0.14,10,9,0,0,0,,0,0,0,0,1,59,1.8,,,0,0,2,0,12.5,0,0,0,0.05,1035,
691,Udimet700,,1177,4,1079,4,843,24,760,16,0,0,4,0.03,0.06,17,15,0,0,,,0,0,5,0,0,55,0,,,0,0,3.5,0,0,0,0,0,0,,
692,Inconel718KC1550,1319.7,3092.4,1,2327.4,8,2012.4,8,0,0,0,0,1.05,0.0063,0.054,0.4,17.51,0,17.3,0,0,0,0.1,2.91,0,5.93,53.68,0.002,0,0,0.34,0,0.68,0,0,0,0,0,0,,11
693,D-979,890,1038,1,843,6,704,16,0,0,0,0,1,0.01,0.05,0,15,0,27,0,0,0,0.3,4,0,0,49.44,0,0,0,0.2,0,3,0,0,0,0,0,0,,21
694,Haynes282,,1121,2,1010,2,788,8,0,0,0,0,1.5,0.005,0.06,10,20,0,1.5,,,0,0.3,8.3,0,0,56.09,0,,,0.15,0,2.1,0,0,0,0,0,0,,
695,GH220,,1220,4,1050,4,950,2,0,0,0,0,4.12,0.013,0.046,14.55,9.9,0.004,0,,,0,0.02,5.4,0,0,57.97,0,,,0.06,0,2.3,0.27,5.35,0,0,0,0,,
696,Allvac718PLUS,,954,1,788,8,704,8,760,0,0,0,1.5,0.005,0.02,9.1,17.4,0.013,9.7,,,0,0,2.7,0,5.5,52.36,0,,,0,0,0.7,0,1,0,0,0,0,,
697,Inconel738X,,1121,2,843,24,0,0,0,0,0,0,3.7,0.0125,0.15,8.96,15.5,0,0.14,,,0,0.1,1.68,0,1.5,59.89,0,,,0.1,1.9,3.75,0,2.55,0,0,0,0.069,,
698,Nimonic263,,1149,0,799,8,799,8,0,0,0,0,0.5,0.001,0.06,20,20,0,0,0,,0,0.4,5.9,0,0,51,0,,,0.3,0,2.1,0,0,0,0,0,0.02,800,
699,Udimet720P/M,,982,2,760,8,649,24,0,0,0,0,2.5,0.03,0.025,14.75,16,0,0,0,,0,0,3,0,0,57.41,0,,,0,0,5,0,1.25,0,0,0,0.035,1377,
700,NimonicPK.33,,843,0,849,25,849,4,0,0,0,0,2,0.03,0.05,14,18.5,0,0.3,0,,0,0.1,7,0,0,56,0,,,0.1,0,2,0,0,0,0,0,0,1180,
701,Waspaloy1651,,1190,24,847,4,760,16,0,0,0,0,1.35,0.004,0.031,12.4,19.4,0,0,,,0,0,4.05,0,0,59.64,0,,,0,0,3.07,0,0,0,0,0,0.06,,
702,Incoloy903,895,843,1,718,8,621,8,0,0,0,0,0.7,0,0,15,0,0,41,0,0,0,0,0,0,3,38,0,0,0,0,0,1.4,0,0,0,0,0,0,,18
703,Waspaloy11,,1020,4,845,4,760,16,0,0,0,0,1.36,0.005,0.018,14,18.9,0,0,0,,0,0,4.1,0,0,58.52,0,,,0,0,3.1,0,0,0,0,0,0,1365,
704,Unnamedalloy8,,0,0,0,0,0,0,0,0,0,0,5.55,0,0,15,10,0,0,,,0,0,3.5,0,0,60.75,0,,,0,0,5.2,0,0,0,0,0,0,,
705,Inconel718,,941,4,760,16,0,0,0,0,0,0,0.59,0.003,0.04,0.02,17.53,0,20.01,0,,0,0.24,2.97,0,5.13,52.24,0,,,0.3,0,0.93,0,0,0,0,0,0,1057,
706,UDM56,,1163,2,0,,0,0,0,0,0,0,4.5,0.07,0.02,5,16,0,0,0,,0,0,1.5,0,0,64,0,,,0,0,2,0.5,6,0,0,0,0.03,710,
707,Udimet700,,1315,4,1079,4,843,24,760,16,0,0,4.42,0.03,0.06,18.8,15.5,0,0.15,,,0,0.1,5.1,0,0,52.28,0,,,0.1,0,3.41,0,0,0,0,0,0.05,,
708,Allvac718PLUS,1169,954,1,788,8,704,8,0,0,0,0,1.5,0.005,0.02,9.1,17.4,0,9.7,0,0,0,0,2.7,0,5.5,52.36,0.013,0,0,0,0,0.7,0,1,0,0,0,0,,
709,AlloyT+B,,1190,4,800,4,0,0,0,0,0,0,3.1,0.035,0.045,17,15,0,0,0,,0,0,4,0,0,53.86,0,,,0,2.5,4.4,0,0,0,0,0,0.06,1287,
710,Inconel738X,800,1121,2,843,24,0,0,0,0,0,0,3.7,0.0125,0.15,8.96,15.5,0,0.14,0,0,0,0.1,1.68,0,1.5,59.89,0,0,0,0.1,1.9,3.75,0,2.55,0,0,0,0.069,,5
711,Inconel713C,,1205,4,0,0,0,0,0,0,0,0,6.3,0.011,0.09,0,12.7,0,0,,,0,0,4.5,0,1,70.93,0,,,0,3.6,0.8,0,0,0,0,0,0.07,,
712,Inconel713C,,1185,4,0,0,0,0,0,0,0,0,6,0.008,0.07,0,13.2,0,0,,,0,0,4.4,0,2,73.47,0,,,0,0,0.8,0,0,0,0,0,0.05,,
713,Inconel718P/M,,927,2,718,8,621,8,0,0,0,0,5.45,0,0.04,0,18.61,0,18.61,,,0,0,3.02,0,0,53.35,0,,,0,0,0.92,0,0,0,0,0,0,,
714,Inconel738LC,,1121,2,843,24,0,0,0,0,0,0,3.4,0.01,0.11,8.5,16,0,0,0,,0,0,1.7,0,0.9,61,0,,,0,1.7,3.4,0,2.6,0,0,0,0.05,1035,
715,Inconel713C,714,925,16,0,0,0,0,0,0,0,0,6.2,0.011,0.1,0,13.1,0,0,0,0,0,0,4.5,0,1.6,71.87,0,0,0,0,1.75,0.8,0,0,0,0,0,0.07,,6.5
716,Inconel731X,,0,0,0,0,0,0,0,0,0,0,5.6,0.014,0.16,9.72,9.6,0,0.23,,,0,0,2.46,0,0,66.66,0,,,0.045,0,4.66,0.85,0,0,0,0,0,,
717,Inconel100,695,0,0,0,0,0,0,0,0,0,0,5.5,0.014,0.18,15,10,0,0,0,0,0,0,3,0,0,60,0,0,0,0,0,4.7,1,0,0,0,0,0.06,,6
718,Rene95,1338,1093,1,760,64,0,0,0,0,0,0,3.43,0.009,0.07,7.85,13.63,0,0,0,0,0,0,3.5,0,3.46,62,0.007,0,0,0.01,0,2.48,0,3.5,0,0,0,0.05,,9
719,MERL76,,1176,2,1121,0,0,0,0,0,0,0,5,0.02,0.02,18.5,12.5,0,0,0,,0,0,3.2,0,1.4,54.5,0.4,,,0,0,4.4,0,0,0,0,0,0.06,1255,
720,Udimet720P/M,,982,2,760,8,649,24,0,0,0,0,2.5,0.03,0.025,14.75,16,0,0,0,,0,0,3,0,0,57.41,0,,,0,0,5,0,1.25,0,0,0,0.035,1562,
721,Rene95,1200,1093,1,815,4,0,0,0,0,0,0,3.43,0.009,0.07,7.85,13.63,0,0,0,0,0,0,3.5,0,3.46,62,0.007,0,0,0.01,0,2.48,0,3.5,0,0,0,0.05,,15
722,Udimet700,672.9,1177,4,1079,4,843,24,760,16,0,0,4,0.03,0.06,17,15,0,0,0,0,0,0,5,0,0,55,0,0,0,0,0,3.5,0,0,0,0,0,0,,7.6
723,Alloy909,821,982,1,718,8,621,8,0,0,0,0,0.05,0,0.005,12.9,0.1,0,41.4,0,0,0,0,0.03,0,5.1,38.44,0,0,0,0.42,0,1.56,0,0,0,0,0,0,,26
724,Inconel713LC,750,0,0,0,0,0,0,0,0,0,0,5.9,0.01,0.05,0,12,0,0,0,0,0,0,4.5,0,2,75,0,0,0,0,0,1.6,0,0,0,0,0,0.1,,15
725,TRW-NASAVIA,730,0,0,0,0,0,0,0,0,0,0,5.4,0.02,0.13,7.5,6.1,0,0,0,0,0,0,2,0,0.5,61,0,0.5,0,0,9,1,0,5.8,0,0,0,0.13,,39
726,N-155,620,1177,1,816,4,0,0,0,0,0,0,0,0,0.15,20,21,0,30,0,0,0,1.5,3,0.15,1,20,0,0,0,0.5,0,0,0,2.5,0,0,0,0,,39
727,Incoloy909,,982,1,718,8,621,8,0,0,0,0,0,0.001,0.01,13,0,0,42,0,,0,0,0,0,4.7,38,0,,,0.4,0,1.5,0,0,0,0,0,0,1160,
728,Inconel718,,1024,1,788,6,0,5,0,0,0,0,0.44,0,0.008,0,17.82,0,18.42,0,,0,0,2.92,0,5.31,53.49,0,,,0,0.02,0.95,0,0,0,0,0,0,1156,
729,Waspaloy,869,1016,4,843,8,760,8,760,100,0,0,1.4,0.006,0.03,13.8,19.5,0,0.2,0,0,0,0,4.3,0,0,57.76,0.004,0,0,0,0,3,0,0,0,0,0,0,,
730,Inconel718KC1543,1239,3092.4,1,2327.4,8,2012.4,8,0,0,0,0,1.12,0.0099,0.058,0.36,17.4,0,14.94,0,0,0,0.11,3.02,0,6.47,54.2,0.005,0,0,0.92,0,1.37,0,0,0,0,0,0,,5.6
731,Waspaloy,1076,1016,4,843,8,760,8,760,50,0,0,1.4,0.006,0.03,13.8,19.5,0,0.2,0,0,0,0,4.3,0,0,57.76,0.004,0,0,0,0,3,0,0,0,0,0,0,,
732,Udimet700,,1177,4,1079,4,843,24,760,16,0,0,4,0.03,0.06,17,15,0,0,0,,0,0,5,0,0,55,0,,,0,0,3.5,0,0,0,0,0,0,1410,
733,Inconel738,,0,0,0,0,0,0,0,0,0,0,3.4,0.011,0.17,8.7,16.2,0,0,,,0,0,3.1,0,1,62.22,0,,,0,1.7,3.3,0,0.1,0,0,0,0.1,,
734,Haynes556,195,1177,0,0,0,0,0,0,0,0,0,0.3,0,0.1,20,22,0,29,0,0,0,1.5,3,0.2,0.1,20,0,0,0,0.4,0.9,0,0,2.5,0.02,0,0,0,,53
735,InconelMA0754,725,1316,1,0,0,0,0,0,0,0,0,0.3,0,0.05,0,20,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,0.5,0,0,0.472453499,0,0.127546501,0,,26
736,Haynes230,265,1232,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,22,0,0,0,0.02,0,0.5,2,0,0,57,0,0,0,0.4,0,0,0,14,0,0,0,0,,55
737,MAR-M200+Hf,,871,50,0,0,0,0,0,0,0,0,5,0.015,0.14,10,9,0,0,0,,0,0,0,0,1,59,1.8,,,0,0,2,0,12.5,0,0,0,0.05,1035,
738,Udimet720Li,914,1168,2,760,8,649,24,0,0,0,0,2.5,0.018,0.023,14.73,16.26,0,0,0,0,0,0,3.01,0,0,57.14,0,0,0,0,0,5.05,0,1.27,0,0,0,0,,20.6
739,J5,,1200,0,750,5,750,6,0,0,0,0,0.1,0,0.01,0,12.3,0,0,,,0,0,22,0,0,64.51,0,,,0,1,0,0,0,0,0,0,0,,
740,Haynes242,,1200,0,650,5,650,6,0,0,0,0,0,0,0,0,8,0,0,,,0,0,25,0,0,66,0,,,0,1,0,0,0,0,0,0,0,,
741,Waspaloy1651,,1190,24,847,4,760,16,0,0,0,0,1.35,0.004,0.031,12.4,19.4,0,0,0,,0,0,4.05,0,0,59.64,0,,,0,0,3.07,0,0,0,0,0,0.06,1179,
742,RR1000,,1130,4,800,16,750,0,0,0,0,0,3,0.015,0.027,18.5,15,0,0,,,0,0,5,0,0,52.05,0.75,,,0,2,3.6,0,0,0,0,0,0.06,,
743,Inconel718KC1542,,1065.555556,1,718.3333333,8,621.1111111,8,0,0,0,0,0.75,0.009,0.06,0.36,17.42,0.004,18.03,0,,0,0.11,2.99,0,5.47,53.21,0,,,0.61,0,0.97,0,0,0,0,0,0,1339,
744,Thermo-Span,987,1093,1,718,8,621,8,0,0,0,0,0.45,0.004,0,29,5.5,0,34.8,0,0,0,0,0,0,4.8,24.25,0,0,0,0.35,0,0.85,0,0,0,0,0,0,,17.2
745,Ticolloy4,,0,0,0,0,0,0,0,0,0,0,0.63,0.004,0.028,0,17.8,0,18.3,0,,0.001,0,3.05,0,5.28,53.57,0,,,0,0,1.34,0,0,0,0,0,0,1359,
746,Alloy901,,1093,2,788,2,718,24,0,0,0,0,0.2,0.015,0.05,0,12.5,0,36,,,0,0.1,5.7,0,0,42.5,0,,,0.1,0,2.8,0,0,0,0,0,0,,
747,M22,,0,0,0,0,0,0,0,0,0,0,6.3,0,0.13,0,5.7,0,0,,,0,0,2,0,0,71,0,,,0,3,0,0,11,0,0,0,0.6,,
748,Cabot214,560,1121,0,0,0,0,0,0,0,0,0,4.5,0,0,0,16,0,2.5,0,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0.01,0,0,0,,38
749,MAR-M247:WLK,808,1185,2,871,20,0,0,0,0,0,0,5.5,0.013,0.17,10.15,8.63,0,0.04,1.4,0,0,0,0.73,0,0,59.66,0,0,0,0,3,1,0,9.67,0,0,0,0.04,,4.3
750,Udimet720P/M,,1175,2,760,8,649,24,0,0,0,0,2.5,0.04,0.025,14.75,16,0,0,0,,0,0,3,0,0,57.41,0,,,0,0,5,0,1.25,0,0,0,0.035,1500,
751,TRW-NASAVIA,,0,0,0,0,0,0,0,0,0,0,5.4,0.02,0.13,7.5,6.1,0,0,0,,0,0,2,0,0.5,61,0,,,0,9,1,0,5.8,0,0,0,0.13,595,
752,Inconel738LC,,1120,2,845,24,0,0,0,0,0,0,3.44,0.01,0.09,8.61,15.95,0,0.04,,,0,0,1.77,0,0.92,61.18,0,,,0,1.76,3.55,0,2.64,0,0,0,0.038,,
753,RR1000,,1130,4,800,16,0,0,0,0,0,0,3,0.015,0.027,18.5,15,0,0,0,,0,0,5,0,0,52.05,0.75,,,0,2,3.6,0,0,0,0,0,0.06,1239,
754,Inconel718,,1135,10,1135,10,955,1,0,0,0,0,0.53,0,0.05,0,17.9,0,18.92,0,,0,0.06,3,0,5,53.5,0,,,0.05,0,0.99,0,0,0,0,0,0,974,
755,AlloyT+B,,1150,4,800,4,0,0,0,0,0,0,3.1,0.035,0.045,17,15,0,0,,,0,0,4,0,0,53.86,0,,,0,2.5,4.4,0,0,0,0,0,0.06,,
756,Udimet710,619.1,1177,4,1079,4,843,24,760,16,0,0,2.5,0.02,0.07,15,18,0,0,0,0,0,0,3,0,0,55,0,0,0,0,0,5,0,1.5,0,0,0,0,,8
757,InconelX750,825,1149,2,843,24,704,20,0,0,0,0,0.7,0,0.04,0,15.5,0,7,0,0,0,0.5,0,0,1,73,0,0,0,0.2,0,2.5,0,0,0,0,0,0,,5
758,Inconel706,,982,1,843,3,718,8,621,8,0,0,0.24,0,0.021,0.03,16.2,0,37.3,0,,0,0,0.05,0,3,41.59,0,,,0.05,0,1.52,0,0,0,0,0,0,845,
759,SEL-15,752,760,4,0,0,0,0,0,0,0,0,5.4,0.015,0.07,14.5,11,0,0,0,0,0,0,6.5,0,0.5,58,0,0,0,0,0,2.5,0,1.5,0,0,0,0,,21
