,Name,"Tensile Strength, Yield",Heat treatment 1 Temperature,Heat treatment 1 Time,Heat treatment 2 Temperature,Heat treatment 2 Time,Heat treatment 3 Temperature,Heat treatment 3 Time,Heat treatment 4 Temperature,Heat treatment 4 Time,Heat treatment 5 Temperature,Heat treatment 5 Time,Al,B,C,Co,Cr,Cu,Fe,Hf,La,Mg,Mn,Mo,N,Nb,Ni,P,Re,Ru,Si,Ta,Ti,V,W,Y,Th,O,Zr,"Tensile Strength, Ultimate",Elongation at Break
2117,Allvac718PLUS,,954,1,788,8,704,8,0,0,0,0,1.5,0.005,0.02,9.1,17.4,0.013,9.7,,,0,0,2.7,0,5.5,52.36,0,,,0,0,0.7,0,1,0,0,0,0,,
2118,Inconel718KC1541,968,3452.4,1,2327.4,8,2012.4,8,0,0,0,0,0.74,0.0075,0.064,0.36,17.6,0,18.87,0,0,0,0.11,2.96,0,5.34,52.96,0.011,0,0,0.6,0,0.37,0,0,0,0,0,0,,22.7
2119,Unnamedalloy28,,1150,4,900,50,0,0,0,0,0,0,1.49,0,0.006,19.2,24.25,0,0,0,,0,0,1.44,0,1.08,76.4,0,,,0,0,2.93,0,0,0,0,0,0,743,
2120,MA6000,,0,0,0,0,0,0,0,0,0,0,4.5,0.01,0.05,0,15,0,1,,,0,0,2,0,0,69.84,0,,,0,2,2.5,0,2,0,0,0,0,,
2121,Waspaloy,,1020,4,850,4,760,16,0,0,0,0,1.5,0.006,0.08,13.5,19,0,2,,,0,0.1,4.3,0,0,56.31,0,,,0.15,0,3,0,0,0,0,0,0.05,,
2122,Inconel625,,927,1,671,4,0,0,0,0,0,0,0.22,0,0.015,0,20.95,0,1.05,0,,0,0.04,8.87,0.005,3.87,64.68,0,,,0.08,0,0.22,0,0,0,0,0,0,1074,
2123,Unnamedalloy26,,0,0,0,0,0,0,0,0,0,0,6,0,0.13,0,6,0,0,,,0,0,2,0,0,71.27,0,,,0,3,0,0,11,0,0,0,0.6,,
2124,Inconel939,1285,1160,4,999,6,899,24,699,16,0,0,1.9,0.009,0.15,19,22.5,0,0,0,0,0,0,0,0,1,48,0,0,0,0,1.4,3.7,0,2,0,0,0,0.09,,4
2125,D-979,,1121,1,843,6,704,16,0,0,0,0,1,0.01,0.05,0,15,0,27,,,0,0.3,4,0,0,45,0,,,0.2,0,3,0,0,0,0,0,0,,
2126,Inconel713C,,0,0,0,0,0,0,0,0,0,0,6.1,0.012,0.12,0,12.5,0,0,0,,0,0,4.2,0,2,74,0,,,0,0,0.8,0,0,0,0,0,0.1,940,
2127,Inconel713C,700,925,16,0,0,0,0,0,0,0,0,6.3,0.011,0.09,0,13.5,0,0,0,0,0,0,4.6,0,1.8,71.33,0,0,0,0,1.5,0.8,0,0,0,0,0,0.07,,9.8
2128,Inconel792,,1121,2,843,24,0,0,0,0,0,0,3.1,0.02,0.12,9,12.4,0,0,,,0,0,1.9,0,0,61,0,,,0,3.9,4.5,0,3.8,0,0,0,0.1,,
2129,Alloy901,,1093,2,788,2,718,24,0,0,0,0,0.2,0.015,0.05,0,12.5,0,36,0,,0,0.1,5.7,0,0,42.5,0,,,0.1,0,2.8,0,0,0,0,0,0,725,
2130,Alloy909,1062,982,1,718,8,621,8,0,0,0,0,0.05,0,0.005,12.9,0.1,0,41.4,0,0,0,0,0.03,0,5.1,38.44,0,0,0,0.42,0,1.56,0,0,0,0,0,0,,12
2131,Inconel738,,0,0,0,0,0,0,0,0,0,0,3.51,0.011,0.18,8.5,16.2,0,0,,,0,0,2.65,0,0.94,61.85,0,,,0,0.1,3.43,0,2.53,0,0,0,0.1,,
2132,Inconel718,985,980,1,850,1,650,16,0,0,0,0,1.85,0.0033,0.056,0,17.58,0,17,0,0,0,0,2.85,0,3.44,56.04,0,0,0,0,0,1.18,0,0,0,0,0,0,,48.5
2133,GH220,,1220,4,1050,4,950,2,0,0,0,0,4.12,0.013,0.046,14.55,9.9,0.004,0,,,0.008,0.02,5.4,0,0,57.97,0,,,0.06,0,2.3,0.27,5.35,0,0,0,0,,
2134,Inconel706,,982,1,843,3,718,8,621,8,0,0,0.2,0,0.03,0,16,0,40,0,,0,0.2,0,0,2.9,41.5,0,,,0.2,0,1.8,0,0,0,0,0,0,1035,
2135,Rene95,,1052,1,760,16,704,16,0,0,0,0,3.43,0.009,0.07,7.85,13.63,0.007,0,0,,0,0,3.5,0,3.46,62,0,,,0.01,0,2.48,0,3.5,0,0,0,0.05,1586,
2136,Inconel718KC1550,,954.4444444,1,718.3333333,8,621.1111111,8,648.8888889,1500,0,0,1.05,0.0063,0.054,0.4,17.51,0.002,17.3,0,,0,0.1,2.91,0,5.93,53.68,0,,,0.34,0,0.68,0,0,0,0,0,0,1487.2,
2137,HaynesR-41,,1079,4,760,16,0,0,0,0,0,0,1.5,0.006,0.09,11,19,0,5,,,0,0.1,10,0,0,49.7,0,,,0.5,0,3.1,0,0,0,0,0,0,,
2138,KM44,,1191,4,843,4,760,4,0,0,0,0,3.64,0.031,0.061,17.66,12.47,0,0,,,0.0025,0,3.96,0,1.9,55.95,0,,,0,0,4.28,0,0.02,0,0,0,0.0255,,
2139,Inconel713C,745,0,0,0,0,0,0,0,0,0,0,6.1,0.012,0.12,0,12.5,0,0,0,0,0,0,4.2,0,2,74,0,0,0,0,0,0.8,0,0,0,0,0,0.1,,6
2140,Astroloy,,1093,4,871,8,982,4,649,24,0,0,4,0.03,0.06,17,15,0,0,0,,0,0,5.3,0,0,55,0,,,0,0,3.5,0,0,0,0,0,0,1240,
2141,UnitempAF2-1DA6,520,1149,4,760,16,0,0,0,0,0,0,4,0.015,0.04,10,12,0,0,0,0,0,0,2.7,0,0,60,0,0,0,0,0,2.8,0,1.5,0,0,0,0.1,,35
2142,Inconel718,1043,980,1,850,1,650,16,0,0,0,0,2.33,0.0041,0.059,0,17.2,0,19.23,0,0,0,0,2.98,0,3.16,53.56,0,0,0,0,0,1.48,0,0,0,0,0,0,,19.1
2143,Inconel625,547,871,24,649,4,0,0,0,0,0,0,0.32,0,0.019,0,21.49,0,1.41,0,0,0,0.04,8.88,0.006,3.77,63.74,0,0,0,0.07,0,0.26,0,0,0,0,0,0,,42
2144,Unnamedalloy25,,0,0,0,0,0,0,0,0,0,0,5,0.015,0.1,10,10,0,0,,,0,0,4,0,0,65.77,0,,,0,0,5,0,0,0,0,0,0.12,,
2145,Udimet720P_M,1510,1175,2,760,8,649,24,0,0,0,0,2.5,0.02,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.035,,13.5
2146,Waspaloy1730,,1190,24,847,4,760,16,0,0,0,0,1.35,0.001,0.04,0.01,19.5,0,0,0,,0,0,3.94,0,0,72.09,0,,,0,0,3.01,0,0,0,0,0,0.06,1160,
2147,Udimet700,,1121,4,1079,4,843,24,760,16,0,0,4.42,0.03,0.06,18.8,15.5,0,0.15,,,0,0.1,5.1,0,0,52.28,0,,,0.1,0,3.41,0,0,0,0,0,0.05,,
2148,Unnamedalloy29,,0,0,0,0,0,0,0,0,0,0,5,0.02,0.07,18.53,12.38,0,0,0,,0,0.01,3.29,0,0,55.72,0,,,0,0,4.18,0.74,0,0,0,0,0.06,1442,
2149,Rene220,,843,1,760,5,649,3,0,0,0,0,0.5,0.01,0.015,12,18,0,0,,,0,0,3,0,5,57.48,0,,,0,3,1,0,0,0,0,0,0,,
2150,Inconel718,,982,1,718,8,621,8,0,0,0,0,0.59,0,0.037,0.13,18.3,0,18,0,,0,0,2.97,0,5.45,53.5,0,,,0.1,0,0.92,0,0,0,0,0,0,1455,
2151,MERL76,,1176,2,1121,0,0,0,0,0,0,0,5,0.02,0.02,18.5,12.5,0,0,0,,0,0,3.2,0,1.4,54.5,0.4,,,0,0,4.4,0,0,0,0,0,0.06,1393,
2152,Inconel939,,1160,4,1000,6,0,0,0,0,0,0,1.9,0.01,0.15,19,22.5,0,0,,,0,0,0,0,1,48.24,0,,,0,1.4,3.7,0,2,0,0,0,0.1,,
2153,RR7080,,871,20,0,0,0,0,0,0,0,0,5.5,0.015,0.14,10,9,0,0,0,,0,0,0,0,0,61,1.5,,,0,2.5,1.5,0,10,0,0,0,0.05,1035,
2154,PWA1480-singlecrystal,,1288,4,1079,4,871,16,0,0,0,0,5,0,0,5,10,0,0,0,,0,0,0,0,0,63,0,,,0,12,1.5,0,4,0,0,0,0,995,
2155,Waspaloy,1012,1016,4,843,8,760,8,760,350,0,0,1.4,0.006,0.03,13.8,19.5,0,0.2,0,0,0,0,4.3,0,0,57.76,0.004,0,0,0,0,3,0,0,0,0,0,0,,
2156,Astroloy,,1093,4,871,8,982,4,649,24,0,0,4,0.03,0.06,17,15,0,0,0,,0,0,5.3,0,0,55,0,,,0,0,3.5,0,0,0,0,0,0,1310,
2157,Udimet520,,1121,4,843,24,760,16,0,0,0,0,1.98,0.005,0.04,12.2,12.1,0,0.1,,,0,0.1,6.2,0,0,63.2,0,,,0.1,0,3,0,0.98,0,0,0,0,,
2158,Inconel718,,954,1,718,8,621,8,0,0,0,0,0,0,0,9,18,0,10,,,0,0,2.9,0,6.16,60.1,0,,,0,0,0,0,0,0,0,0,0,,
2159,MAR-M247:WLK,815,1185,2,871,20,0,0,0,0,0,0,5.5,0.013,0.17,10.15,8.63,0,0.04,1.4,0,0,0,0.73,0,0,59.66,0,0,0,0,3,1,0,9.67,0,0,0,0.04,,7.2
2160,Unnamedalloy31,893,982,1,720,8,620,8,0,0,0,0,0.54,0.004,0.04,22.5,0,0,41.74,0,0,0,0,0,0,4.07,29.5,0,0,0,0.31,0,1.3,0,0,0,0,0,0,,26
2161,Inconel625,587,927,1,649,4,0,0,0,0,0,0,0.25,0,0.016,0,21.45,0,1.41,0,0,0,0.05,8.89,0.006,3.77,63.84,0,0,0,0.06,0,0.26,0,0,0,0,0,0,,42
2162,Unnamedalloy29,,0,0,0,0,0,0,0,0,0,0,5,0.02,0.07,18.53,12.38,0,0,,,0,0.01,3.29,0,0,55.72,0,,,0,0,4.18,0.74,0,0,0,0,0.06,,
2163,Udimet720P_M,1429,1175,2,760,8,649,24,0,0,0,0,2.5,0.02,0.025,14.75,16,0,0,0,0,0,0,3,0,0,57.41,0,0,0,0,0,5,0,1.25,0,0,0,0.07,,23.7
2164,Inconel100,,0,0,0,0,0,0,0,0,0,0,5.5,0.014,0.18,15,10,0,0,0,,0,0,3,0,0,60,0,,,0,0,4.7,1,0,0,0,0,0.06,1070,
2165,AlloyT+B,,1150,4,800,4,0,0,0,0,0,0,3.1,0.035,0.045,17,15,0,0,,,0,0,4,0,0,53.86,0,,,0,2.5,4.4,0,0,0,0,0,0.06,,
2166,Inconel718Dir.Age,,718,8,621,8,0,0,0,0,0,0,0.5,0,0.04,0,19,0,18.5,,,0,0.2,3,0,5.1,52.5,0,,,0.2,0,0.9,0,0,0,0,0,0,,
2167,Inconel718p3,991,1160,24,0,0,0,0,0,0,0,0,0.52,0.006,0.03,0,18.56,0,18.76,0,0,0,0.02,3.01,0,5.24,52.79,0.0033,0,0,0.06,0,1,0,0,0,0,0,0,,25.3
2168,Inconel718,793,996,1,718,8,621,8,0,0,0,0,0.5,0.005,0.04,0,18.5,0,18.5,0,0,0,0,3,0,5.1,52.5,0,0,0,0,0,0.9,0,0,0,0,0,0,,12
2169,Haynes230,,1121,0,0,0,0,0,0,0,0,0,0.3,0,0.1,0,22,0,0,0,,0,0.5,2,0,0,57,0,,,0.4,0,0,0,14,0,0,0,0,575,
2170,Rene41,674,1121,1,871,4,0,0,0,0,0,0,1.5,0.01,0.02,11,19,0,0,0,0,0,0,9.8,0,0,55.42,0,0,0,0,0,3.2,0,0,0,0,0,0.05,,
2171,Inconel625,703,1038,1,732,16,0,0,0,0,0,0,0.2,0,0.05,0,21.5,0,2,0,0,0,0.2,9,0,4,62.45,0,0,0,0.2,0,0.2,0,0,0,0,0,0,,
2172,Waspaloy,636,1065,1,760,5,649,3,0,0,0,0,1,0.01,0.025,13,19,0,0,0,0,0,0,4,0,3,57.92,0,0,0,0,0,2,0,0,0,0,0,0.05,,
